Handle,Title,Product Category,Type,Tags,Published,Image Src,Status
sweatshrt-cream-w-black-emroidered-raison-detre,Sweatshirt,Uncategorized,APPAREL - SWEATSHIRT LS - SWEATSHIRT LS,"catalogFALL24, FALL-24, le-cute-show, material::care_guides_sweats, MGM --embroidery_placement:bottom-right(3) --fonts:script, new-arrivals, Personalization:Embroidery",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Sweatshirt-Embroidered-Raison-Detre---AP-LS-LS-100283-CRM---Sonnie_1_9dbc2720-77ce-46a3-9ce6-caa813655442.jpg?v=1721079446,active
sweatshrt-cream-w-black-emroidered-raison-detre,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Sweatshirt-Embroidered-Raison-Detre---AP-LS-LS-100283-CRM---Sonnie_2.jpg?v=1721081458,
sweatshrt-cream-w-black-emroidered-raison-detre,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Turnlock-Louis-Suede---HB-SH-LW-100025-OAT---Andrea_1_f9e11bc5-fce8-475b-b2a7-aacffb4e58dc.jpg?v=1721081596,
sweatshrt-cream-w-black-emroidered-raison-detre,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/cream-w-black-raison-detre_swatch.jpg?v=1721081689,
sweatshrt-cream-w-black-emroidered-raison-detre,,,,,,,
sweatshrt-cream-w-black-emroidered-raison-detre,,,,,,,
sweatshrt-sand-w-embroidered-navy-le-weekend,Sweatshirt,Uncategorized,APPAREL - SWEATSHIRT LS - SWEATSHIRT LS,"ALLOCATED, catalogFALL24, FALL-24, material::care_guides_sweats, MGM --embroidery_placement:bottom-right(3) --fonts:script, Personalization:Embroidery",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Sweatshirt-Embroidered-Le-Weekend---AP-LS-LS-100297-SAND---Sonnie_1.jpg?v=1724266030,active
sweatshrt-sand-w-embroidered-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Sweatshirt-Embroidered-Le-Weekend---AP-LS-LS-100297-SAND---Sonnie_2.jpg?v=1724266030,
sweatshrt-sand-w-embroidered-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Midi-Sac-Nappa-and-Suede-Woven-Checker---HB-CB-MS-100226-MAHOG---Andrea_2_a976066f-1592-44c3-b3d1-c92e1b30dae5.jpg?v=1724266293,
sweatshrt-sand-w-embroidered-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/sand-w-le-weekend_swatch.jpg?v=1724266140,
sweatshrt-sand-w-embroidered-navy-le-weekend,,,,,,,
sweatshrt-sand-w-embroidered-navy-le-weekend,,,,,,,
le-tube-skirt-black-poppy-stripe,Le Tube Skirt,Uncategorized,APPAREL - SKIRTS - LE TUBE SKIRT,"cp-fall24, FALL-24, le-cute-show, material::care_guides_cottonelastan, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Tube-Skirt-Stripe---AP-SK-SQ-100027-BPOPP---Andrea_1.jpg?v=1721091215,active
le-tube-skirt-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Tube-Skirt-Stripe---AP-SK-SQ-100027-BPOPP---Sonnie_1_e40eb20a-3775-4658-b874-4fc2c291f9a5.jpg?v=1721089973,
le-tube-skirt-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Tube-Skirt-Stripe---AP-SK-SQ-100027-BPOPP---Sonnie_2.jpg?v=1721089973,
